backward ,/adj./@向后的;
ruthless ,/adj./@冷酷的;
subtlety ,/n./@微妙;
scullery ,/n./@洗碗間;,/n./@洗滌室;
suppress ,/v./@鎮壓;
struggle ,/v.//n./@奋斗;,/v.//n./@努力;,/v.//n./@斗争;
thruster ,/n./@推進器;
dumpling ,/n./@餃子;,/n./@湯糰;,/n./@麵糰;
multiply ,/v./@相乘;,/v./@相加;
succinct ,/adj./@簡潔的;,/adj./@簡明的;,/adj./@簡練的;,/adj./@緊身的;
scrutiny ,/v./@仔细检查;
sluggish ,/adj./@遲鈍的;,/adj./@遲緩的;,/adj./@懶惰的;
stuffing ,/n./@填料;
stunning ,/adj./@极好的;,/adj./@令人震惊的;
gluttony ,/n./@暴食;,/n./@貪食;
stubborn ,/adj./@愚笨的;
