abduct ,/v./@綁架;
arcane ,/adj./@神秘的;
archer ,/n./@弓箭手;
ardent ,/adj./@熱情的;,/adj./@熱心的;,/adj./@激烈的;
aren't ,/v./@不是;
armour ,/n./@盔甲;
around ,/v./@周圍;
arouse ,/v./@喚醒;,/v./@喚起;,/v./@激發;,/v./@引起;,/v./@鼓勵;
arrear ,/n./@欠款;
arrest ,/v./@逮捕;
artist ,/n./@藝術家;
ascend ,/v./@上升;,/v./@攀升;
ascent ,/n./@上升;
ashame ,/v./@感到羞恥;
aslant ,/adj./@歪的;
aspect ,/n./@方面;
assail ,/v./@攻擊;
assent ,/v./@贊成;
assert ,/v./@斷言;,/v./@堅持;
assess ,/v./@評估;
assign ,/v./@分配;
assist ,/v./@協助;
assume ,/v./@猜想;
assure ,/v./(使)@確信;
astray ,/adj./@迷失的;,/adj./@误入歧途的;,/adv./@迷路地;,/adv./@误入歧途地;,/adv./@遗失;
astute ,/adj./@機敏的;,/adj./@精明的;
asylum ,/n./@庇護;
atomic ,/adj./@原子的;,/adj./@原子能的;
atrium ,/n./@中庭;,/n./@心房;
attach ,/v./@附加;,/v./@係;
attack ,/vt./@攻擊;
attain ,/v./@達到;,/v./@獲得;
attend ,/v./@出席;,/v./@照料;,/v./@陪伴;
attune ,/v./@合拍;
August ,/n./@八月;
author ,/n./@作者;
autumn ,/n./@秋;
avatar ,/n./@頭像;,/n./@化身;,/n./@替身;
avenue ,/n./@大街;
aviate ,/v./@飛行;
avowal ,/n./@聲明;,/n./@承認;,/n./@宣佈;
babble ,/v./@喋喋不休;,/v./@含糊不清地說;
baboon ,/n./@狒狒;
backup ,/n./@備份;
baffle ,/v./(使)@困惑;
ballad ,/n./@歌謠;,/n./@民謠;,/n./@敘事歌謠;
ballet ,/n./@芭蕾舞;
ballot ,/v./@投票;
banana ,/n./@香蕉;
bandit ,/n./@盜賊;,/n./@强盜;,/n./@土匪;,/n./@匪徒;,/n./@盜匪;
banish ,/v./@放逐;,/v./@驅逐;
banner ,/n./@旗幟;,/n./@橫幅;,/n./@標語;
banter ,/v./@戲虐;
barley ,/n./@大麥;
barrel ,/n./@桶;,/n./@管;
barren ,/adj./@不育的;,/adj./@貧瘠的;
barter ,/n./@易貨貿易;
basket ,/n./@籃;
battle ,/n./@戰爭;
bawdry ,/n./@猥褻;,/n./@賣淫;
bazaar ,/n./@集市;
beacon ,/n./@燈塔;
beauty ,/n./@美女;
become ,/v./@變成;
before ,/v./@前于;
behave ,/v./@行爲;
behind ,/v./@后于;
behold ,/v./@看;,/v./@註視;,/v./@瞧;
belief ,/n./@信仰;
bellow ,/v./@吼叫;
belong ,/v./@屬于;
berate ,/v./@斥責;,/v./@訓斥;
bestow ,/v./@給予;,/v./@授予;
betray ,/v./@背叛;,/v./@出賣;
better ,/adj./@更好的;
beware ,/vi./@當心;,/v./@小心;,/v./@提防;
beyond ,/v./@超過;
billet ,/n./@便條;,/n./@短簡;
binary ,/adj./@二進制的;,/adj./@二元的;
bitter ,/adj./@苦的;
blazon ,/v./@宣佈;,/v./@裝飾;
bleach ,/v./@漂白;
blonde ,/adj./@金髮碧眼的;,/adj./@白膚金髮碧眼的;,/n./@金髮碧眼的女人;
blurry ,/adj./@模糊的;,/adj./@不清楚的;,/adj./@污髒的;
borage ,/n./@紫草科;,/adj./@紫草科的;
border ,/n./@邊界;
boring ,/adj./@無聊的;
borrow ,/v./@借;
botany ,/n./@植物學;
bother ,/v./@打擾;
bottle ,/n./@瓶子;
bottom ,/n./@底部;
bought ,/v./@買;
bounce ,/v./@彈起;,/n./@跳躍;
branch ,/n./@分支;
breach ,/n./@違反;,/n./@違背;,/n./@缺口;,/vt./@違反;,/vt./@破壞;,/vt./@打破;
breast ,/n./@乳房;,/n./@胸部;
breath ,/v./@呼吸;
breeze ,/n./@微風;
bridge ,/n./@橋;
bridle ,/n./@韁繩;,/v./@約束;,/v./@抑制;,/v./@控制;
bright ,/adj./@明亮的;,/adj./@聰明的;
broach ,/v./@鑽孔;
broken ,/adj./@破碎的;,/adj./@燬壞的;
brooch ,/n./@胸針;,/n./@領針;
browse ,/v./@瀏覽;
bruise ,/n./@擦傷;,/n./@瘀傷;,/n./@青腫;,/n./@挫傷;
brutal ,/adj./@殘忍的;,/adj./@野蠻的;
bubble ,/n./@氣泡;,/n./@泡泡;
bucket ,/n./@桶;
budget ,/n./@預算;
budgie ,/n./@虎皮鸚鵡;,/n./@相思鸚鵡;
buffer ,/n./@緩衝區;
buffet ,/n./@自助餐;
bullet ,/n./@子彈;
bundle ,/n./@捆;
bunker ,/n./@掩體;
burden ,/n./@重負;
bureau ,/n./@局;,/n./@司;,/n./@辦公室;
burial ,/n./@葬禮;
butler ,/n./@男管家;,/n./@僕役長;
butter ,/n./@黃油;
button ,/n./@按鈕;,/n./@紐扣;
bypass ,/v./@繞開;,/v./@忽視;
cackle ,/v./@饒舌;,/v./@喋喋不休;
camera ,/n./@照相機;
campus ,/n./@校園;
Canada ,/n./@加拿大;
cancel ,/v./@取消;
cancer ,/n./@癌症;
Cancer ,/n./@巨蟹座;
candid ,/adj./@坦白的;,/adj./@直率的;
cannon ,/n./@大炮;,/n./@加農炮;
cannot ,/v./@不能;
canopy ,/n./@天篷;,/n./@遮篷;,/n./@華蓋;,/v./@遮蓋;
canyon ,/n./@峽谷;
capita ,/n./@人;
carbon ,/n./@碳;
career ,/n./@事業;,/n./@職業;,/n./@生涯;
caress ,/v./@愛撫;,/v./@撫摸;,/v./@擁抱;,/v./@接吻;
carnal ,/adj./@肉體的;,/adj./@肉慾的;,/adj./@淫蕩的;,/adj./@性慾的;
carpet ,/n./@地毯;
carrot ,/n./@胡蘿蔔;
carton ,/n./@紙箱;
castle ,/n./@城堡;
casual ,/adj./@隨便的;
cattle ,/n./@牛;
caveat ,/n./@警告;,/n./@告誡;
cavern ,/n./@洞穴;,/v./@挖空;
celery ,/n./@芹菜;
cement ,/n./@水泥;
censor ,/v./@審查;,/v./@檢查;
census ,/n./@普查;,/n./@統計;
center ,/n./@中心;,/v./@集中;
centre ,/n./@中心;
cereal ,/n./@谷類;
chalan ,/n./@收據;,/n./@发票;,/n./@通行證;
chance ,/n./@機會;
change ,/v./@改變;
chapel ,/n./@小教堂;
charge ,/v./@收費;,/v./@充電;
chaste ,/adj./@純潔的;,/adj./@貞潔的;,/adj./@有道德的;,/adj./@樸素的;
cheese ,/n./@乳酪;
cheque ,/n./@支票;
cherry ,/n./@櫻桃;
chisel ,/v./@雕刻;
choice ,/n./@選擇;
choose ,/v./@选择;
chorus ,/n./@合唱曲;
chosen ,/v./@選擇;
christ ,/n./@基督;
church ,/n./@教堂;,/n./@教會;
cinema ,/n./@電影院;
cipher ,/n./@密碼;,/v./@計算;
circle ,/n./@圓;,/n./@果;,/v./@畫圈;
circum ,/n./@環繞;,/n./@周圍;
circus ,/n./@馬戲團;
classy ,/adj./@優等的;,/adj./@上等的;,/adj./@漂亮的;
clause ,/n./@從句;
claver ,/n./@閑話;
clench ,/v./@緊握;
clever ,/adj./@聰明的;
cliche ,/n./@陈词滥调;,/adj./@陈腐的;,/n./@铅版;
client ,/n./@客戶;,/n./@用户;,/n./@顧客;
climax ,/n./@高潮;,/n./@頂點;
clinic ,/n./@診所;
clique ,/n./@派係;
clumsy ,/adj./@笨拙的;
clutch ,/v./@抓緊;
coarse ,/adj./@粗糙的;
cocoon ,/n./@茧;,/n./@蚕茧;
coerce ,/v./@強制;,/v./@迫使;
coffee ,/n./@咖啡;
coffin ,/n./@棺材;
cogent ,/adj./@令人信服的;,/adj./@相關的;
cohort ,/n./@隊列;,/n./@同期群;,/n./@同生群;,/n./@步兵隊;
collar ,/n./@領子;
colony ,/n./@殖民地;
colour ,/n./@顔色;,/n./@色彩;
column ,/n./@列;,/n./@圓柱;,/n./@栏;
combat ,/n./@戰斗;
comedy ,/n./@喜劇;
comics ,/n./@漫畫;,/n./@連環畫;
comity ,/n./@友好;,/n./@和諧;
commit ,/v./@認@罪;
common ,/adj./@共同的;,/adj./@通常的;
compel ,/v./@強迫;
comply ,/v./@遵守;
concur ,/v./@同意;,/v./@一致;
condom ,/n./@避孕套;
confer ,/v./@授予;
convey ,/v./@傳達;
convoy ,/v./@護航;,/v./@護送;,/v./@護衛;
cooker ,/n./@廚具;
cookie ,/n./@曲奇;,/n./@餅干;
copper ,/n./@銅;
cordon ,/n./@警戒綫;,/n./@綬帶;
corner ,/n./@角落;
corpse ,/n./@屍體;
corpus ,/n./@語料庫;,/n./@文集;,/n./@本金;
cortex ,/n./@皮质;,/n./@皮层;,/n./@树皮;,/n./@果皮;
cosmic ,/adj./@宇宙的;
cosmos ,/n./@宇宙;
cotton ,/n./@棉;
county ,/n./@縣;,/n./@郡;
coupon ,/n./@贈券;
course ,/n./@課程;
cousin ,/n./@堂兄弟姐妹;,/n./@表兄弟姐妹;
covert ,/n./@隱藏處;,/adj./@隱蔽的;,/adj./@隱秘的;
coward ,/n./@懦夫;
cradle ,/n./@搖籃;
cranky ,/adj./@暴躁的;,/adj./@古怪的;
crappy ,/adj./@蹩脚的;,/adj./@糟糕的;
crater ,/n./@坑;,/n./@彈坑;,/n./@火山口;
cravat ,/n./@領帶;,/n./@領巾;
create ,/v./@創造;
credit ,/n./@信用;,/v./@歸功于;,/v./@相信;
creepy ,/adj./@令人毛骨悚然的;
cringe ,/v./@畏縮;,/v./@奉承;,/v./@阿諛;
crises ,/n./@危機;
crisis ,/n./@危機;
crotch ,/n./@胯部;,/n./@分叉;
crouch ,/v./@蹲;,/v./@蜷伏;
crunch ,/v./@咬碎;,/v./@壓碎;
crutch ,/n./@拐杖;
cuboid ,/n./@立方體;
cuddle ,/v./@擁抱;
curate ,/v./@摘選;
curtly ,/adv./@簡略地;
cussed ,/adj./@固執的;
custom ,/n./@風俗;,/n./@習慣;
cypher ,/n./@零;
daemon ,/n./@魔鬼;,/n./@惡魔;
damage ,/v./@破壞;,/v./@損害;,/n./@損害;,/n./@損傷;,/n./@傷害;,/n./@損毀;
danger ,/n./@危險;
danish ,/adj./@丹麥的;,/n./@丹麥面包;
darken ,/v./@使變暗;
dazzle ,/v./@耀眼;
dealer ,/n./@商人;,/n./@販子;
debase ,/vt./@降低;,/vt./@貶值;,/vt./@摻雜;
debate ,/v./@辯論;,/n./@爭論;
debris ,/n./@殘骸;
decade ,/n./@十年;
deceit ,/n./@欺騙;,/n./@欺詐;,/n./@謊言;
decent ,/adj./@正派的;
decide ,/v./@決定;,/v./@判決;
decode ,/v./@破譯;
decree ,/n./@法令;
deduce ,/v./@演繹;,/v./@推斷;,/v./@推論;
deduct ,/v./@減去;
deepen ,/v./@加深;,/v./@深化;
deeply ,/adv./@深深地;,/adv./@深切的;
defeat ,/vt./@打敗;
defect ,/n./@缺陷;
defend ,/v./@保衛;,/v./@防守;
defile ,/v./@污損;,/v./@弄髒;,/v./@污染;
define ,/v./@定義;
deform ,/v./@弄變形；@弄殘;
degree ,/n./@度;,/n./@學位;,/n./@級別;
delete ,/v./@刪除;
deluge ,/n./@洪水;,/n./@汎濫;,/n./@暴雨;
demand ,/v./@命令;
dement ,/adj./@癡呆的;,/n./@癡呆;
denote ,/v./@表示;
depart ,/v./@離開;,/v./@出发;
depend ,/v./@依靠;
depict ,/v./@描述;,/v./@描畫;
deploy ,/v./@解雇;
depute ,/v./@委任;
deride ,/v./@嘲笑;
derive ,/v./@源于;
desert ,/n./@沙漠;,/n./@荒原;,/v./@遺棄;,/v./@離棄;,/v./@抛棄;,/v./@放棄;,/v./@擅離;,/v./@逃跑;,/v./@逃亡;,/n./@賞罰;,/n./@功德;,/n./@功勞;,/adj./@荒蕪的;
design ,/v./@設計;
desire ,/v./@慾望;
detach ,/v./@分離;,/v./@拆卸;
detail ,/n./@細節;
detect ,/v./@察覺;
device ,/n./@設備;
devote ,/v./@奉獻;
devout ,/adj./@虔誠的;,/adj./@衷心的;
dialog ,/redirected./@target="dialogue";
diaper ,/n./@尿布;
diesel ,/n./@柴油機;
differ ,/v./@不同;
digest ,/v./@消化;,/v./@吸收;,/n./@文摘;
dilate ,/v./@膨脹;,/v./@擴大;,/v./@詳述;
dilute ,/v./@稀釋;
dinghy ,/n./@小艇;,/n./@小船;
dinner ,/n./@晚餐;
direct ,/adj./@直接的;,/v./@指挥;,/v./@支配;
discus ,/n./@鐵餅;
dismal ,/adj./@淒涼的;,/adj./@憂郁的;,/adj./@失落的;
dismay ,/v./@沮喪;
dispel ,/vt./@驅散;,/vt./@驅逐;,/vt./@消除;
disuse ,/v./@廢止;,/n./@廢止;
divide ,/v./@拆分;
divine ,/adj./@神聖的;
doctor ,/n./@醫生;,/n./@博士;
dollar ,/n./@美元;
domain ,/n./@領域;,/n./@領土;
domine ,/n./@主人;,/n./@老爺;
donate ,/v./@捐贈;,/v./@捐献;
donkey ,/n./@驴;,/n./@笨蛋;
doodle ,/v./@塗鴉;
dotage ,/n./@溺爱;,/n./@老耄;,/n./@老迷糊;
double ,/adj./@兩倍的;,/adj./@雙重的;,/adj./@二倍的;
douche ,/v./@沖洗;
dragon ,/n./@龍;
drawer ,/n./@抽匣;
dreary ,/adj./@沉悶的;,/adj./@沉鬱的;,/adj./@凄涼的;,/adj./@枯燥的;,/adj./@乏味的;
driver ,/n./@司機;
duress ,/v./@強迫;,/v./@監禁;
during ,/v./@在@(...)期間;
easier ,/adj./@更容易;
easily ,/adv./@容易地;
editor ,/n./@編輯;,/n./@編者;
efface ,/v./@擦掉;,/v./@抹去;
effect ,/n./@影響;,/n./@效果;,/n./@作用;
effuse ,/v./@流出;,/v./@湧出;,/v./@瀉出;
egoism ,/n./@利己主義;
elapse ,/v./@消逝;
elated ,/adj./@興髙采烈的;
eleven ,/n./@十一;
elicit ,/v./@引出;,/v./@引起;,/v./@抽出;,/v./@引發;,/v./@誘發;
embark ,/v./@從事;,/v./@著手;
emblem ,/n./@象征;,/n./@标志;,/n./@徽章;,/n./@标记;
emerge ,/v./@出現;
empire ,/n./@帝國;
employ ,/v./@雇用;
encore ,/n./@再唱;,/n./@加演;
endian ,/n./@字节序;
endure ,/v./@容忍;,/v./@忍耐;
energy ,/n./@能量;
engage ,/v./@使從事;,/v./@吸引;,/v./@佔用;
engine ,/n./@引擎;,/n./@发動機;
enigma ,/n./@謎;,/n./@不可思議的事物;
enough ,/adj./@足夠的;,/adj./@充足的;
enrage ,/v./@激怒;
enrich ,/v./@充實;
enroll ,/v./@登記;
ensure ,/v./@保證;
entail ,/v./@遺留;,/v./@蘊含;,/v./@需要;
entice ,/v./@引诱;,/v./@诱惑;,/v./@吸引;,/v./@诱使;,/v./@怂恿;
entire ,/adj./@整個的;
entity ,/n./@實體;
equate ,/v./@等同;
equity ,/n./@公平;
eraser ,/n./@橡皮;,/n./@清除器;,/n./@擦除器;
erotic ,/adj./@色情的;,/adj./@性愛的;
errand ,/n./@使命;,/n./差事;
errant ,/adj./@不定的;
escape ,/v./@逃脫;
escort ,/v./@護送;,/v./@陪同;,/n./@護航艦;
estate ,/n./@財產;,/n./@身份;
esteem ,/n./@尊重;,/n./@尊敬;,/vt./@尊敬;,/v./@認爲;,/v./@考慮;,/v./@估價;
ethnic ,/adj./@種族的;,/adj./@人種的;
eulogy ,/n./@悼詞;,/n./@頌詞;,/n./@頌揚;
evenly ,/adv./@均勻地;,/adj./@平均地;
evolve ,/v./@发展;,/v./@進化;
exceed ,/v./@超過;
except ,/v./@除了;
excess ,/n./@過度;,/n./@過量;,/n./@超過;,/adj./@額外的;
excite ,/v./@刺激;
excuse ,/v./@原諒;
exempt ,/vt./@免除;
exhale ,/v./@呼氣;
exhume ,/v./@掘出;
exotic ,/adj./@外國的;
expand ,/v./@擴大;
expect ,/v./@期望;,/v./@預料;
expert ,/n./@專家;
expire ,/v./@終止;,/v./@到期;,/v./@断气;
expose ,/v./@暴露;
extant ,/adj./@現存的;,/adj./@顯著地;
extend ,/v./@擴充;,/v./@延展;
extent ,/n./@程度;
extern ,/adj./@外部的;
fabric ,/n./@織物;,/n./@結構;,/n./@組織;
facade ,/n./@正面;,/n./@表面;,/n./@外觀;
facial ,/adj./@面部的;
factor ,/n./@因素;
faggot ,/n./@柴把;,/v./@同性戀;
falcon ,/n./@獵鷹;,/n./@隼;
falter ,/v./@支吾;
family ,/n./@家庭;
famous ,/adj./@著名的;
fandom ,/n./@影迷;
fasten ,/v./@係牢;
father ,/n./@父親;
faucet ,/n./@龍頭;,/n./@旋塞;,/n./@插口;
fealty ,/n./@忠誠;
feeble ,/adj./@虛弱的;
fellow ,/n./@家夥;
felony ,/n./@重罪;
fervid ,/adj./@热情的;,/adj./@热烈的;,/adj./@强烈的;,/adj./@激情的;
fervor ,/n./@狂熱;
fetter ,/v./@束縛;,/v./@加脚鐐;,/n./@束縛;,/n./@脚鐐;,/n./@羈絆;
feudal ,/adj./@封建的;
fiddle ,/n./@提琴;
fierce ,/adj./@兇猛的;,/adj./@猛烈的;
figure ,/n./@數字;,/n./@體型;,/n./@肖像;,/n./@圖形;,/v./@計算;,/v./@出現;
filter ,/n./@濾器;,/n./@濾鏡;,/v./@過濾;
filthy ,/adj./@肮脏的;
finish ,/v./@完成;
finite ,/adj./@有限的;
fixate ,/v./@註視;,/v./@固定;
fizzle ,/n./@失敗;,/v./@萎靡;
flabby ,/adj./@鬆弛的;,/adj./@軟弱的;
flappy ,/adj./@飛揚的;
flatly ,/adv./@斷然的;
flavor ,/n./@滋味;,/n./@風趣;
fledge ,/n./@羽毛;,/v./@長羽毛;
fleece ,/n./@羊毛;
flight ,/n./@航班;,/n./@飛;,/n./@逃走;
flinch ,/v./@畏縮;
flower ,/n./@花;
fluent ,/adj./@流暢的;
foetal ,/adj./@胎兒的;
folder ,/n./@文件夾;
follow ,/v./@跟隨;,/v./@按照;
foment ,/v./@煽動;,/v./@助長;,/v./@挑起;
forbid ,/v./ @禁止;
forest ,/n./@森林;
forget ,/v./@忘記;
formal ,/adj./@正式的;,/adj./@正規的;
format ,/n./@格式;
former ,/adj./@以前的;
fossil ,/n./@化石;
foster ,/v./@養育;,/v./@撫養;
freeze ,/v./@冰凍;,/v./@冷凍;
fresco ,/n./@壁畫;
Friday ,/n./@星期五;
fridge ,/n./@冰箱;
friend ,/n./@朋友;
fright ,/n./@驚嚇;
frigid ,/adj./@寒冷的;
fringe ,/n./@邊緣;
frisky ,/adj./@活潑的;
frugal ,/adj./@節儉的;,/adj./@樸素的;
frumpy ,/adj./@過時的;
fungal ,/adj./@眞菌的;
funnel ,/n./@漏斗;,/n./@煙囪;
futile ,/adj./@徒勞的;,/adj./@無用的;
future ,/n./@未來;
gadget ,/n./@小玩意;
gallop ,/v./@疾馳;
gambit ,/n./@話題;,/n./@開始;
gamble ,/v./@賭博;
garage ,/n./@車庫;
garden ,/n./@花園;
garlic ,/n./@大蒜;
garner ,/v./@獲得;,/v./@儲存;
garret ,/n./@閣樓;
gauche ,/adj./@笨拙的;,/adj./@粗魯的;
gender ,/n./@性;
genius ,/n./@天賦;
genome ,/n./@基因组;,/n./@染色体组;
gentle ,/adj./@輕柔的;
gently ,/adj./@輕柔的;
gerund ,/n./@動名詞;
giggle ,/v./@咯咯笑;
ginger ,/n./@薑;
glance ,/v./@掃視;,/v./@瞥;
glider ,/n./@滑翔機;
glitch ,/n./@故障;,/n./@失靈;
global ,/adj./@全球的;
gloomy ,/adj./@黑暗的;
goatee ,/n./@山羊胡子;
goblet ,/n./@酒杯;,/n./@髙腳杯;
goblin ,/n./@妖精;
golden ,/adj./@金色的;,/adj./@金的;
gotcha ,/n./@明白了;
gothic ,/adj./@哥特的;
gravel ,/n./@砂礫;
grease ,/n./@油脂;,/n./@賄賂;
greasy ,/adj./@油膩的;
Greece ,/n./@希臘;
greedy ,/adj./@貪婪的;
grieve ,/v./@悲痛;
grisly ,/adj./@可怕的;
grocer ,/n./@雜貨店;
ground ,/n./@場地;,/n./@地面;,/n./@理由;,/n./@根據;
growth ,/n./@增長;,/n./@發展;,/n./@生長;
grumpy ,/adj./@脾氣暴躁的;
guffaw ,/v./@哄笑;
guilty ,/adj./@有罪的;
guitar ,/n./@吉他;
gurgle ,/n./@咯咯聲;
haggle ,/n./@爭論;,/n./@討價還價;
hallow ,/n./@神聖;,/v./@神化;,/n./@聖徒;,/n./@聖器;
hamlet ,/n./@小村莊;
hammer ,/n./@錘子;,/v./@錘擊;
handle ,/n./@把手;,/v./@處理;,/v./@操作;
happen ,/v./@发生;
harass ,/v./@騷擾;,/v./@煩擾;
harlot ,/n./@娼妓;
harrow ,/n./@耙;,/vt./@耙;,/vt./@煩擾;
hassle ,/n./@麻煩;,/n./@困難;,/v./@爭辯;
hasten ,/v./@加速;
hatred ,/n./@仇恨;
health ,/n./@健康;
hearth ,/n./@壁爐;,/n./@爐邊;
heaven ,/n./@天堂;,/n./@天空;
heckle ,/v./@詰問;
height ,/n./@髙;,/n./@髙度;
helium ,/n./@氦;
herald ,/n./@先驅;,/n./@先兆;
here's ,/n.v./@這是;
hereby ,/adv./@以此;
heresy ,/n./@異端;,/n./@邪教;
hermit ,/n./@隱士;
higher ,/adj./@更高的;
highly ,/adv./@髙度的;,/adv./@很髙的;
hijack ,/n.//v./@搶劫;,/n.//v./@劫持;,/v.//n./@威逼;,/v.//n./@敲詐;
hither ,/adv.//adj./@這里;
hobble ,/v./@蹣跚;,/v./@跛行;
hockey ,/n./@曲棍球;,/n./@冰球;
hollow ,/adj./@空的;,/adj./@中空的;
homely ,/adj./@家常的;,/adj./@简朴的;
honest ,/adj./@誠實的;
honour ,/n./@榮幸;
hopper ,/n./@漏斗;,/n./@跳蟲;
horror ,/n./@驚駭;,/n./@恐怖;
hostel ,/n./@招待所;
hotdog ,/n./@熱狗;
hubble ,/n./@小瘤;,/n./@小凸起;
huddle ,/v./@蜷縮;
humane ,/adj./@仁慈的;,/adj./@人道的;,/adj./@髙尚的;
humble ,/adj./@謙卑的;
humour ,/n./@幽默;,/n./@詼諧;,/vt./@遷就;
hunger ,/n./@饑餓;
hungry ,/adj./@饑餓的;
hybrid ,/n./@雜種;,/adj./@混合的;,/adj./@雜交的;
ignite ,/v./@點燃;,/vi./@燃燒;
ignore ,/v./@忽視;,/v./@忽略;
immune ,/v./@免疫;
impact ,/v./@影響;
impair ,/vt./@損害;
impart ,/vt./@賦予;
impede ,/v./@妨礙;,/v./@阻礙;
import ,/v./@輸入;,/v./@進口;
impose ,/v./@實施;,/v./@推行;
income ,/n./@收入;
indeed ,/adv./@當然;,/adv./@確實;
indent ,/v./@縮行;
indict ,/v./@起訴;,/v./@控告;,/v./@告發;
induce ,/v./@引誘;,/v./@引起;
infant ,/n./@嬰兒;
infect ,/v./@感染;,/v./@傳染;
infill ,/v./@填實;,/v./@填入;
inform ,/v./@通知;
inhale ,/v./@吸氣;
inject ,/v./@註射;
injure ,/vt./@損傷;,/v./@傷害;
injury ,/n./@傷害;
insane ,/adj./@瘋狂的;
insect ,/n./@昆蟲;
insert ,/v./@插入;
inside ,/prep./在...@內;
insist ,/v./@堅持;
insult ,/v./@侮辱;
insure ,/v./@確保;
intact ,/adj./@完整的;
intend ,/v./@打算;
intent ,/n./@意圖;,/n./@含義;,/adj./@專心的;
intern ,/n./@實習生;
intuit ,/v./@由直覺知道;
invade ,/v./@侵略;
invent ,/v./@发明;,/v./@创造;
invert ,/v./@轉化;,/v./@翻轉;,/v./@倒置;
invest ,/v./@投資;
invite ,/v./@邀請;
invoke ,/vt./@調用;,/vt./@祈求;
island ,/n./@島嶼;
Israel ,/n./@以色列;
jagger ,/n./@鑿子;,/n./@鋸齒;
jigsaw ,/n./@線鋸;
jocund ,/adj./@歡樂的;,/adj./@高興的;,/adj./@快活的;
jostle ,/v./@推擠;
jovial ,/adj./@快活的;
judder ,/v./@顫抖;,/n./@顫抖;
jungle ,/n./@叢林;,/n./@密林;
junior ,/adj./@初級的;
keeper ,/n./@保管人;,/n./@管理員;
kennel ,/n./@狗屋;
kernel ,/n./@核;,/n./@核心;
ketone ,/n./@酮體;
kettle ,/n./@水壺;
kidnap ,/v./@綁架;,/v./@拐騙;
kidney ,/n./@腎脏;
killer ,/n./@殺手;
kindle ,/v./@點燃;
kitten ,/n./@小貓;
knight ,/n./@騎士;
lackey ,/n./@男僕;,/n./@侍從;,/n./@馬屁精;
ladder ,/n./@梯子;
laptop ,/n./@筆記本;
larynx ,/n./@喉;
lately ,/adj./@近來;
latter ,/adj./@后面的;,/adj./@后者的;
launch ,/v./@发射;,/v./@发起;
lavish ,/adj./@浪費的;,/adj./@豐富的;,/adj./@大方的;,/v./@浪費;,/v./@濫用;,/v./@慷慨給予;
lawful ,/adj./@合法的;,/adj./@法律的;
lawyer ,/n./@律師;
layout ,/n./@設計;,/n./@規劃;,/n./@圖案;
leader ,/n./@領導;,/n./@領袖;
league ,/n./@同盟;,/n./@協會;
leeway ,/n./@餘地;,/n./@退路;
legacy ,/n./@遺贈;,/n./@遺產;
legend ,/n./@傳奇;,/n./@傳說;
legion ,/n./@軍團;,/n./@衆多;,/n./@軍隊;
length ,/n./@長度;
lesion ,/n./@損害;
lesson ,/n./@課程;,/n./@教訓;
lethal ,/adj./@致命的;
letter ,/n./@字母;,/n./@信件;
liable ,/adj./@有責任的;
